protein,n_present,mean_abundance
P30125,0,NA
P30177,0,NA
P30740,8,341693000
P30748,0,NA
P30838,8,457337000
P30850,0,NA
P30870,0,NA
P30958,0,NA
P31025,8,174694750000
P31057,0,NA
P31063,0,NA
P31120,0,NA
P31130,0,NA
P31131,0,NA
P31142,0,NA
P31151,7,46513671.428571425
P31224,0,NA
P31441,0,NA
P31658,0,NA
P31663,0,NA
P31677,0,NA
P31678,0,NA
P31697,0,NA
P31806,0,NA
P31808,0,NA
P31941,3,57866533.333333336
P31946,8,6388963.75
P31947,8,766443625
P31949,8,218140625
P31979,0,NA
P32119,8,74883125
P32157,0,NA
P32162,0,NA
P32173,0,NA
P32455,5,4619436
P32664,0,NA
P32695,0,NA
P33136,0,NA
P33195,0,NA
P33218,0,NA
P33219,0,NA
P33221,0,NA
P33362,0,NA
P33363,0,NA
P33368,0,NA
P33570,0,NA
P33599,0,NA
P33602,0,NA
P33643,0,NA
P33920,0,NA
P34096,8,50628387.5
P34209,0,NA
P34931,8,202805375
P34932,4,9881950
P35321,7,8289935.714285715
P35326,2,16925250
P35340,0,NA
P35527,8,1629276250
P35579,8,43867725
P35858,2,1694930
P35908,8,240223375
P36659,0,NA
P36683,0,NA
P36767,0,NA
P36929,0,NA
P36938,0,NA
P36952,8,151583250
P36955,7,41111414.28571428
P37051,0,NA
P37095,0,NA
P37128,0,NA
P37329,0,NA
P37330,0,NA
P37344,0,NA
P37349,0,NA
P37387,0,NA
P37440,0,NA
P37613,0,NA
P37634,0,NA
P37645,0,NA
P37647,0,NA
P37648,0,NA
P37666,0,NA
P37685,0,NA
P37689,0,NA
P37744,0,NA
P37747,0,NA
P37749,0,NA
P37750,0,NA
P37759,0,NA
P37765,0,NA
P37769,0,NA
P37773,0,NA
P37774,0,NA
P37802,8,420036625
P37902,0,NA
P37903,0,NA
P38038,0,NA
P38489,0,NA
P38521,0,NA
P38567,0,NA
P39099,0,NA
P39160,0,NA
P39173,0,NA
P39176,0,NA
P39187,0,NA
P39199,0,NA
P39265,0,NA
P39286,0,NA
P39315,0,NA
P39325,0,NA
P39332,0,NA
P39334,0,NA
P39342,0,NA
P39353,0,NA
P39406,0,NA
P39451,0,NA
P39829,0,NA
P39831,0,NA
P40120,0,NA
P40121,8,72301012.5
P40191,0,NA
P40394,8,297062250
P40874,0,NA
P40925,8,121506375
P40926,8,28807312.5
P41039,0,NA
P41407,0,NA
P42588,0,NA
P42593,0,NA
P42599,0,NA
P42620,0,NA
P42641,0,NA
P42904,0,NA
P43034,7,5189480
P43329,0,NA
P43652,8,16136825
P45425,0,NA
P45523,0,NA
P45577,0,NA
P45748,0,NA
P45799,0,NA
P45955,0,NA
P45974,7,14799657.142857144
P46459,2,5399005
P46783,6,5197948.333333333
P46837,0,NA
P46852,0,NA
P46853,0,NA
P46940,8,56043937.5
P47895,8,45294225
P48047,2,1447780
P48637,6,9471451.666666666
P48741,3,362251333.3333333
P49189,2,11918950
P49368,7,20096985.714285713
P49721,5,11331290
P50395,7,49559342.85714286
P50502,8,5920927.5
P50990,8,24723850
P50995,8,33331962.5
P51024,0,NA
P52037,0,NA
P52061,0,NA
P52209,8,113014100
P52565,8,32780500
P52643,0,NA
P52647,0,NA
P52697,0,NA
P52895,8,413234250
P52907,7,22735014.285714287
P52943,8,19889637.5
P54727,3,9923963.333333334
P55011,0,NA
P55058,8,192184750
P55072,8,173888125
P55786,4,7925165
P56537,1,16759700
P58546,8,12371970
P59665,8,2876941250
P59998,8,82518287.5
P60174,8,340905500
P60240,0,NA
P60293,0,NA
P60390,0,NA
P60422,0,NA
P60438,0,NA
P60624,0,NA
P60660,8,130681525
P60664,0,NA
P60709,8,2669920000
P60720,0,NA
P60723,0,NA
P60752,0,NA
P60757,0,NA
P60785,0,NA
P60903,7,8141618.571428572
P60906,0,NA
P60953,4,29226850
P60981,8,18999237.5
P61026,7,54619014.28571428
P61158,8,20671387.5
P61163,0,NA
P61175,0,NA
P61204,8,72644287.5
P61316,0,NA
P61517,0,NA
P61586,8,75187137.5
P61626,8,159240750000
P61714,0,NA
P61769,8,538775000
P61889,0,NA
P61916,7,21012047.14285714
P61949,0,NA
P61978,8,23269262.5
P61981,8,34107712.5
P62258,8,83908000
P62269,8,35360225
P62333,0,NA
P62399,0,NA
P62491,4,10011792.5
P62615,0,NA
P62620,0,NA
P62623,0,NA
P62707,0,NA
P62736,0,NA
P62768,0,NA
P62805,8,869812750
P62820,8,36182012.5
P62857,8,19723887.5
P62937,8,328259375
P62942,7,14182971.42857143
P63020,0,NA
P63104,8,286037250
P63177,0,NA
P63224,0,NA
P63228,0,NA
P63235,0,NA
P63284,0,NA
P63417,0,NA
P63883,0,NA
P64479,0,NA
P64490,0,NA
P64503,0,NA
P64506,0,NA
P64559,0,NA
P64581,0,NA
P64596,0,NA
P66817,0,NA
P67087,0,NA
P67910,0,NA
P68066,0,NA
P68104,8,390342125
P68133,8,2494005000
P68206,0,NA
P68363,8,106740075
P68366,8,233519375
P68371,8,272864125
P68402,3,67010933.333333336
P68567,0,NA
P68679,0,NA
P68739,0,NA
P68767,0,NA
P68919,0,NA
P69222,0,NA
P69441,0,NA
P69451,0,NA
P69503,0,NA
P69506,0,NA
P69776,0,NA
P69783,0,NA
P69786,0,NA
P69795,0,NA
P69797,0,NA
P69805,0,NA
P69811,0,NA
P69828,0,NA
P69829,0,NA
P69853,0,NA
P69908,0,NA
P69924,0,NA
P75797,0,NA
P75823,0,NA
P75838,0,NA
P75863,0,NA
P75864,0,NA
P75874,0,NA
P75913,0,NA
P75915,0,NA
P75949,0,NA
P75957,0,NA
P75960,0,NA
P76015,0,NA
P76034,0,NA
P76086,0,NA
P76097,0,NA
P76108,0,NA
P76113,0,NA
